elexonBmUnit,bmUnitName,leadPartyName,generationCapacity
T_CGTHW-1,Corriegarth WF,Corriegarth Wind Energy LTD,69.0
T_LCLTW-1,Lochluichart Windfarm,Eneco Energy Trade,69.0
T_KILBW-1,KILBW,Kilbraur Wind Energy Ltd,68.51
T_BENBW-1,Benbrack WF,Benbrack Wind Farm Limited,67.0
T_KYPEW-1,KYPE MUIR EXT WIND FARM,Kype Extension Wind Farm Ltd,67.0
T_DWEXW-1,Douglas West Extension,Douglas West Extension Ltd,65.51
T_MILWW-1,MILWW,Millennium Wind Energy Ltd,65.0
T_GNFSW-2,Gunfleet Sands 2,Gunfleet Sands II Limited,64.48
T_AKGLW-2,AIKENGALL II,Aikengall 2 CWCL,63.84
T_WISTW-2,Brockloch Rig 2 WF Exp A,BROCKLOCH RIG WINDFARM LTD,61.5
T_KENNW-1,Kennoxhead Wind Farm,Kennoxhead Wind Farm Limited,60.0
T_GORDW-2,Gordonbush WF Extension,SSE Generation Ltd,58.733
T_BLKWW-1,Blackcraig Windfarm,Blackcraig Wind Farm Limited,56.216
T_GLWSW-1,Galawhistle Wind Farm,GALAWHISTLE WIND FARM,55.2
T_MKHLW-1,Mark Hill,SP Renewables (UK) Limited,53.84
T_GLNKW-1,GLEN KYLLACHY WINDFARM,EDF Energy Customers Limited,52.0
T_CUMHW-1,Cumberhead wind energy limited,Uniper UK Limited,52.0
T_MIDMW-1,MIDDLE MUIR WIND FARM,OnPath Energy Limited,51.0
T_AFTOW-1,Afton Wind Farm,Afton Wind Farm Limited,50.0
T_CRYRW-4,Crystal Rig IV Wind Farm,Erova Energy Limited,48.2
T_CRMLW-1,Corriemoillie,EDF Energy Customers Limited,48.0
T_BROCW-1,Broken Cross WF,Smartestenergy Limited,48.0
T_CRGHW-1,Carraig Gheal Wind Farm,Statkraft Markets Gmbh,46.0
T_DOUGW-1,T-DOUGW-1,Erova Energy Limited,45.0
T_DALQW-1,Dalquhandy  Wind Farm,Statkraft Markets Gmbh,42.846
T_WDRGW-1,Windy Rig Wind Farm,Windy Rig Wind Farm Limited,42.8
T_ACHRW-1,AChruach Wind Farm,Mobius Renewables Gen. (GB2,42.6
T_EDINW-1,Edinbane Windfarm,Vattenfall Wind Power Ltd,41.4
T_EWHLW-1,Ewe Hill II Windfarm,SP Renewables (UK) Limited,38.0
T_TWSHW-1,Twenty Shilling Wind Farm,Twentyshilling Limited,37.8
T_SANQW-1,SANQUHAR,SANQUHAR CWCL,32.08
T_TDBNW-1,Toddleburn,SSE Generation Ltd,31.6
T_HAHAW-1,Hagshaw Repower 1,HAGSHAW HILL REPOWERING LTD,30.258
T_HALSW-1,Halsary Windfarm,SP Renewables (UK) Limited,30.0
T_DNLWW-1,Dunlaw Extension,SP Renewables (UK) Limited,29.75
T_WHIHW-1,Whiteside Hill WF,Whiteside Hill,27.52
T_MYGPW-1,Minnygap Wind Farm,Minnygap Energy Limited,25.0
T_CRDEW-1,Crossdykes WF-1,EDF Energy Customers Limited,24.0
T_CRDEW-2,Crossdykes WF-2,EDF Energy Customers Limited,24.0
T_FSDLW-1,Freasdail Wind Farm,Freasdail Energy Limited,22.2
T_GNAPW-1,Glen App Windfarm,SP Renewables (UK) Limited,22.0
T_COUWW-1,Cour Wind Farm,Cour Wind farm (Scotland) Ltd,20.5
T_ANSUW-1,An Suidhe 1,Statkraft Markets Gmbh,19.36
T_TRLGW-1,T_TRLGW-1,Smartestenergy Limited,18.742
T_CRYRW-3,Crystal Rig III,Eneco Energy Trade,13.8
T_PGBIW-1,Pogbie WF,EDF Energy Customers Limited,10.0
T_KTHLW-1,KEITH HILL WINDFARM,Statkraft Markets Gmbh,4.54
