elexonBmUnit,bmUnitName,leadPartyName,capacity_mw,repd_site_name,repd_capacity_mw,country,latitude,longitude,match_score,match_status,match_note,north_of_b6,north_of_b4
T_GRGBW-2,Greater Gabbard Module 2,Greater Gabbard Offshore Winds,240.0,Greater Gabbard Wind Farm,504,England,51.91764465935985,1.9284202368399181,0.9,accepted,,False,False
T_GRGBW-3,Greater Gabbard Module 3,Greater Gabbard Offshore Winds,240.0,Greater Gabbard Wind Farm,504,England,51.91764465935985,1.9284202368399181,0.9,accepted,,False,False
T_THNTO-2,Thanet Offshore Wind Limited 2,Thanet Offshore Wind Limited,230.159,Thanet,300,England,51.42993205828252,1.6334113898517628,1.0,accepted,,False,False
T_PNYCW-1,PNYCW-1 Export,Pen y Cymoedd Wind Farm LTD,228.0,Mynydd Portref,9.4,Wales,51.556394803194976,-3.4597357047926947,0.538,unmatched,,False,False
T_NNGAO-2,Neart Na Gaiothe WF 2,Neart Na Gaoithe Offshore Wind,224.0,Neart na Gaoithe,450,Scotland,56.26999980237445,-2.2500011715258426,0.938,accepted,,True,True
T_NNGAO-1,Neart Na Gaiothe WF 1,Neart Na Gaoithe Offshore Wind,224.0,Neart na Gaoithe,450,Scotland,56.26999980237445,-2.2500011715258426,0.938,accepted,,True,True
T_SGRWO-2,Seagreen1 Offshore WF 2,Seagreen Wind Energy Limited,220.0,Seagreen,1075,Scotland,56.63551233113348,-1.926620733768669,0.941,accepted,,True,True
T_MOWWO-1,Moray West OWF1,Moray Offshore Wind West Ltd,215.0,Moray East,950,Scotland,57.96732452349117,-2.790536894837343,0.9,accepted,,True,True
T_MOWWO-2,Moray West OWF2,Moray Offshore Wind West Ltd,215.0,Moray East,950,Scotland,57.96732452349117,-2.790536894837343,0.9,accepted,,True,True
T_WHILW-2,Whitelee Extension,SP Renewables (UK) Limited,206.0,Whitelee Windfarm Extension phase 2,109,Scotland,55.63942792702672,-4.317630408823731,1.0,accepted,,True,False
T_WTMSO-1,WESTERMOST_ROUGH,Westermost Rough Limited,205.0,Westermost Rough A,210,England,53.097730204705954,0.5614812934582966,0.923,accepted,,False,False
T_WDNSO-2,West of Duddon Sands Offshore2,Morecambe Wind Limited,201.0,West of Duddon Sands,389,England,53.98514982535915,-3.462007068918209,1.0,accepted,,False,False
